File Name,Raga,Notation,Aroh,Avroh,Pakad
Bhairav-1-168.xml,Bhairav,R g R g m p g m n D - g - m g R g m p g m n D - Ru - su gu - g - m n D Ru - D - R - g m p g m g R n g g p p D D n n D n n D m p gu mu D - n D - R - mu gu - Ru - pu - gu mu D - D - n D - n Ru gu n Ru D n m D g m p g m g R n,,,
Bhairav-10-179.xml,Bhairav,sR ♯mRg R R snil s sR s nilDl - nil - s s s - gm g gm g R - g p m g (m) - Rm - s s nil s g m g m niD p - @mg @mR @gp @mg mR - - s p - niD D suni - su su ni su su su nisu Ru su - ni su ni D p pg m p - niD - su - suni su niD p mp m g @mg R - s s nil s gm g gm niD p - @mg @mR g p @mg @mR R s sR R@mg R R,,,
Bhairav-11-180.xml,Bhairav,niD - D D niD - p - @DD @pm p - m - g - gm g (m) g gR - g p gm g m g gR - s - snil s g m p D ni su niD DRu su - niD D qpw w eg g@gm niD - D p - D m mg m p p niD - ni ni su - su su suni su su - nig m p p suni - su su suRu Ru su su ni su niD p pD D su su niD DNi D p pg - m @mg gR - s - snil s g m p D ni su suRu Ru su - niD D p - pg m niD D p - D m,,,
Bhairav-12-181.xml,Bhairav,nils qDw w eD niD - p p p @DD @pm p - m - g - gm g gm (m) mR R s s sR g m (m) mR - s - snil s @gm niD - ni su su niD ni su Ru su ni D p gmq w wDw w eD niD gm m p p niD - ni ni su - - - ni su su - niD - D D ni ni su su suRu Ru su su suni su niD p gm g R s snil s mg m p D ni su suRu Ru su su niD - p ♯mgm gmq e D D niD,,,
Bhairav-13-183.xml,Bhairav,mp m mR - - s - R nil s m - - - - - - - mR - m m p - p D Dsu su niD DNi D p m m p - p - niD - ni - su - su su - su su su niD D ni ni su su su - Ru su - suni su niD - p Dp D Dsu - niD Ni D p m (m) - m mR - Rp m mR - - s - R nil s,,,
Bhairav-14-184.xml,Bhairav,snil s pg m niD - D niD - D p p NiD D p D p mp m g mg m niD niD - D @pm p gm - m mR - - pg p m - g - (m) - R - gR - s - mp p p - niD - ni ni su su su - suni su su su Ru Ru su - suni su niD p pg m p niD - D DRu su sni su D p m g pm g R - s - snil s pg m,,,
Bhairav-15-185.xml,Bhairav,gm m N D p p @pD @mp @DD @pm p - m g p @mg gR - - - gR R s - sDl Dl nl s gR R s - snl s mg m p - D p @pD @ns su sqD eN @Dp m @gm mg m p p nD D n n su su su su n su su - suRu - gu @mugu guRu - su - pD Ru su nD N @Dp m @gm,,,
Bhairav-16-186.xml,Bhairav,gm - @gm m@pp ND - p @mp `DDpm p m g R@m(m) R gR s m@gm ND - su ND - p @mp `DDpm p m g gm(m) R gR s @nls m @gm m@pp gm p n@DD @nn su su su @-su sun su su - ND D D sun su su @nsu n@ su guRu su @nsu n@Dp m`gmpD @nsu nD ♯p mp gm ♯(m)R gR s,,,
Bhairav-17-187.xml,Bhairav,nD p @mp !DD pmp m @gm g`m(m)R `s nls sm - @gm @ p nD - p @mp `DDpm p m g g♯m(m) @gm R s snl s R s nl s nlDl pl s@nls m@gm @pp nn@DD su @nsu nD ♯p gm nD - p @mp `DDpm p @mg m`m gm - - m♯gmp nD Dsu - `su ns @susu n@DD n@DD su su su@nsu @Rusu su@nsu n@Dp m@gm nD m`pDpp @mg s@nls m@gm @pp !pDnsuRusu nD - p m♯ gm nD ♯p mp !DDpmp `gm gm,,,
Bhairav-18-189.xml,Bhairav,D p m `gmp m p - @mp ND ND ♯p mp m g gm mp @gm `g(m)g gR - s @nls snl s - gR R gR s @nls nls m m mp - p ND - Dsu - nsu nD N p D m p g m mN m@gm nD - n su su su su @nsu su nD n su guRu su @nsu !RuRu sunsu nD N p m@gm ND - ♯p mp m `gmp m p p NN@DD NN@DDq esu su ND N su Ru guRu su Nsu ND N p D m p g m mN,,,
Bhairav-19-190.xml,Bhairav,- - ns `sR gR mg m - @gm R m @mg mm! pp mgm mR - s @nls s@nls gR - s nlnl@ss nlDl - - snls s gR s snl nls nlDl nlDl nlDl s @-s nls gR - @ g m - @gm @ mm ♯(m)R @Rs `RRsnl s nl Dl nls m@ gR g@mm m@pp N@DD ♯ nn su - @nsu @susu R - su @nsu nD @DD su `nsu susu sun su nD p m @gm p @p p nD - su @nsu su@nsu guRu - @susu ~DDnsunDpm ~gpmgRRs- nls `nlsgR,,,
Bhairav-2-169.xml,Bhairav,- s - R - R g - - m - p - su su D - D - p - m g @mR g p p m g R - s p - - d - n su su - n su su su D - n su su R - s D - p n - - D - - p - - m - - g - - R - - s - - R - R,,,
Bhairav-20-192.xml,Bhairav,nlsq eDl s @sR mg m @gm m gm g qmw w @eRR gR - s s @nls gR @-s s@nls nl@DlDl s@nls g@Rs mg m gm g mq w eR mg m mR ♯s sR mg m @gm m@ gm nDq e su Dq e p♯p mp gm g mq w eR R@mg (m) R `s ss pm p ND su@ nn su su @nsu su nsu nD n @susu Ru su @nsu n@Dp !DDpmp ♯mg m nD @nsu su@RuRu @susu su@mu(mu) mu@Rusu sun su D p gm m@gm mR `s ss,,,
Bhairav-21-193.xml,Bhairav,- @ss gR - @nls %nlsR s nlDl @-pl nlDl - s ♯nls s !RRsnls nl♯Dl nls sm @gm mg(m)q eR - s nls ♯nls s sm - @gm @ mp nD - p ♯pmp gm @ mR ♯gmp m g(m)mq eR ♯s nls @ ss nD @-n @susu su nD - !DpnsuRu @-Ru su @nsu n♯su nsu nD ♯pmp %DD pmp m ♯gm m `pDnsu @nsu %DD pmp m mg mR ♯gmp m g@(m)mq eR ♯s nls @ ss,,,
Bhairav-22-195.xml,Bhairav,nls - @nls @ sR mg m m @gm gm mp - @mg g@m(m) R s @nls gm - @gm @ pm p - @mp ND Nq w eD p @mp gm - m@gm gm@mp m (m)q eR s @nls @-s - -@ sR p@gm @p mp nD @-D su - su@nsu su nD - - @nsu Ru su @nsu @Dp gm (m) R s nl@sm - gm p mpq eN D p gm p %gmpDp m g g♯m(m) R s s - @nls @ sR,,,
Bhairav-23-197.xml,Bhairav,gm - @gm @pp nD - p @mp ♯DDm p m g NR @ g m p m - g g@m(m) ♭R - s @ m p @mp nD @ n su - su n@ su guRu - su su sun su nD p mp m @gm p p - nD - - n su @nsu Ru - su n su nD p ♯mpD gm @gm p p nD - - p @mp @ p gm g mR g m p,,,
Bhairav-24-198.xml,Bhairav,gR - s ♯nls s gR - s @nls nlsuq w eDl s @-s gR - s nl@-su sm - @gm @- p nD @-D p @mp %DDpm p m g g@m(m) R s @-s p@gm ♯p mp nD s@nn su su @nsu su Ru ♯sunsu nD p p~gmDDpmp @gm nD @nsu su ♯nsu su nD p ~gmpDpmp m g R gR g @mg @mp g♯m(m) g mR ♯s s,,,
Bhairav-25-199.xml,Bhairav,mg p m D p p m g m - nD - p m @dd @pm p - m - gm m q(m) w- eR m g R g m p p R R R p m g R R R R gR - s - sn s s s Dl nl s s n qs wru esu n D p p nD D D sun gusu n su su Ru - su su n D p p g m nD - - - n n su - su su su - su R - su - su su su Dn su n D p> m g R s s R g m p D n su n R su n D p m g gm - m nD -,,,
Bhairav-26-200.xml,Bhairav,n su n D - p gm g m nD - p D m p m m - m R g m p m gqm w- eR gR - s s s mg m p p pg m p D n su n D p m p D m m p p m g m nD nD nD gD n n su su su su nD D D sun gusu n su su Ru - su su n D p p R s - n @DD @pp @gg @mm @pp @pp n n@DD @nini @susu su qsuw e mu Ru su - su ni D ni D mp - m pR m R s -,,,
